age(Ma),Value
0.005673,15.46
0.005702,0.6
0.005711,15.46
0.005715,10.7
0.005722,6.75
0.005732,13.96
0.005746,19.46
0.005753,30
0.005758,16.46
0.005798,-23
0.005808,20
0.00581,6.5
0.005811,3
0.005815,23.46
0.005833,17.46
0.005858,2
0.005872,5
0.005978,16.46
0.005995,0.5
0.00601,6
0.006047,13.46
0.006052,15
0.006079,19.46
0.006147,10.95
0.006185,-1.24
0.006217,0.39
0.006225,15.46
0.006289,21.46
0.006328,15.96
0.006353,33
0.006383,13.46
0.00639,40
0.006403,23
0.006407,7
0.006445,21.36
0.0065,27
0.006602,22
0.006636,18.46
0.00667,17.02
0.006744,20.46
0.006791,8
0.006797,38
0.006819,23.16
0.006827,19.46
0.006875,6
0.006881,5.2
0.006911,25.46
0.00692,18.46
0.006953,63
0.006961,5
0.006967,21.46
0.007066,-0.49
0.007086,-0.37
0.007113,25
0.007123,30
0.007226,28.46
0.00731,0.2
0.007324,7.5
0.007356,9
0.007378,19.46
0.007379,24
0.007393,21.46
0.007409,10.7
0.007462,24.46
0.007477,29.5
0.00749,24.46
0.007533,62.86
0.007622,19.46
0.007627,19.96
0.007645,19.46
0.007674,27.37
0.007719,21.86
0.007732,31
0.007748,7.6
0.007756,10.45
0.007766,-0.35
0.007791,28.5
0.00781,60
0.007811,-3.58
0.007823,3
0.007837,26.06
0.007946,10.45
0.008011,57
0.008053,36
0.008074,27.46
0.008152,21.46
0.008201,17.5
0.008251,24.46
0.008271,25
0.00828,24.46
0.008315,38
0.008374,-36
0.008477,30.46
0.008508,-3.59
0.008609,29.06
0.008617,-3.68
0.008652,51.3
0.008715,15
0.008761,55
0.008799,55
0.008805,15
0.008843,55
0.008843,22.46
0.009001,-3.58
0.009019,3.3
0.009033,53
0.009083,27.46
0.00909,26
0.009113,5.81
0.009141,-40.8
0.009217,40
0.00923,18.5
0.00928,21.46
0.0093,-27
0.009316,72
0.00933,-17.7
0.009347,3.75
0.009365,-39
0.009367,76
0.009377,55
0.009404,87
0.009435,11
0.009598,2.5
0.009602,55
0.009649,11.83
0.009701,29.46
0.009715,33.6
0.009735,28.46
0.009783,3.3
0.0098,79.13
0.009835,21.8
0.009865,1.7
0.0099,14.3
0.009959,44.21
0.009963,22.5
0.010007,48.1
0.010011,-3.78
0.010012,28.5
0.010018,15
0.010037,0.93
0.010053,55
0.010075,3.3
0.010106,0.5
0.01011,31
0.010143,41.3
0.010148,-3.75
0.010154,21
0.010195,61
0.010217,3
0.01022,10.65
0.010266,86
0.010285,-17.7
0.010344,57
0.010355,48.1
0.010359,48.5
0.010362,52.5
0.010379,41
0.0104,60
0.010444,5.81
0.010502,45.46
0.010509,34.46
0.010525,72
0.010525,25
0.0106,76.5
0.0106,17.9
0.010649,-47.57
0.01065,5
0.010682,56.18
0.010761,31.46
0.0108,18.3
0.010903,33.46
0.010904,45
0.010911,-40
0.010954,72
0.010976,104
0.010993,24.9
0.010998,34.46
0.011,10
0.011001,31.46
0.011037,34
0.011038,91.5
0.011066,43.46
0.01116,81.5
0.011173,-3.7
0.011175,22
0.011181,37
0.011233,7
0.011237,81.5
0.0114,63
0.011409,-47.84
0.011466,34
0.011485,41.3
0.0115,11
0.011511,32
0.011523,35.46
0.011538,33.5
0.011551,51
0.01158,69
0.011643,88
0.011718,24.7
0.011758,6.5
0.011807,104
0.0119,23
0.011941,92.21
0.011985,120.21
0.012,15.3
0.012027,133.21
0.012069,112.21
0.012072,41
0.012086,30
0.012086,26
0.0121,24
0.012108,71.21
0.012209,25.46
0.012268,81.5
0.012366,54
0.012388,50
0.0126,15.3
0.0127,11.9
0.012817,12
0.012837,5.81
0.012848,-7.2
0.012958,69
0.013,5
0.013098,36
0.013179,-38.7
0.013249,2
0.0137,13
0.0137,75.5
0.0138,73
0.014652,-3.98
0.014664,4.5
0.0148,62
0.0149,55.5
0.015,4.5
0.0155,5
0.0157,11.7
0.016416,2.9
0.0174,64.5
0.0178,65.5
0.018362,50
0.019,0.8
0.019,5.8
0.019186,4.2
0.0192,6
0.02,2.5
0.020066,5
0.0205,6
0.021,18.7
0.021,20
0.022,3.7
0.023,11
0.0231,39
0.024551,20
